Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SBILIFE,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TATACONSUM,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2016-05-31,187.5009002685547,1346.00048828125,946.7649536132812,505.2239685058594,2271.6357421875,749.4114379882812,1820.4361572265625,313.0319519042969,219.6915283203125,1255.1893310546875,460.40704345703125,182.27426147460938,1058.227783203125,3044.544921875,1799.721923828125,703.3167114257812,328.950439453125,1143.554931640625,570.9869384765625,0.0,2590.252685546875,101.53944396972656,775.8045043945312,211.70872497558594,1075.363037109375,534.5242919921875,196.40660095214844,126.77251434326172,744.598876953125,876.0088500976562,626.8079833984375,3910.73291015625,5546.8427734375,88.81958770751953,106.20238494873047,121.57921600341797,467.2817077636719,198.54815673828125,0.0,12896.470703125,728.5762329101562,458.0140686035156,279.470703125,1149.1068115234375,0.0,460.5722961425781,350.7992858886719,3170.251708984375,373.9480285644531,199.0797882080078
2016-06-30,201.2275848388672,1289.4810791015625,970.7267456054688,522.71484375,2330.054931640625,790.3529663085938,2314.6728515625,325.9396057128906,243.11537170410156,1278.7532958984375,488.7195129394531,195.7112579345703,1066.4312744140625,3234.900634765625,1867.681884765625,751.5398559570312,324.7935791015625,1156.2930908203125,573.0139770507812,0.0,2658.536865234375,118.53509521484375,829.2922973632812,211.65286254882812,1086.72314453125,506.5243835449219,205.62364196777344,133.48841857910156,760.95263671875,889.0215454101562,676.135986328125,3926.91845703125,5901.45361328125,96.9729995727539,108.7927017211914,132.0755615234375,472.3982238769531,214.70716857910156,0.0,14210.8271484375,729.4359741210938,459.0636291503906,268.9837646484375,1150.065673828125,0.0,433.19793701171875,395.2351379394531,3349.461181640625,348.4578857421875,203.50823974609375
2016-07-31,225.80908203125,1335.0010986328125,1078.1337890625,540.0654907226562,2348.137939453125,1025.461181640625,2714.583740234375,322.2898864746094,269.29248046875,1368.5772705078125,514.7417602539062,204.99212646484375,1151.10693359375,2824.01318359375,2182.6689453125,788.9848022460938,334.55230712890625,1282.0125732421875,607.4415893554688,0.0,2679.933349609375,128.86767578125,850.4260864257812,231.6109619140625,1152.622314453125,464.64398193359375,211.53091430664062,153.3006591796875,760.197265625,925.7421875,699.8429565429688,4461.79541015625,6517.04248046875,98.24407958984375,110.6285400390625,142.5718994140625,494.8376770019531,224.9196319580078,0.0,15739.791015625,792.6263427734375,503.0,303.1156921386719,1183.6785888671875,0.0,421.35882568359375,409.24951171875,3648.04736328125,395.01177978515625,199.1060333251953
2016-08-31,255.74501037597656,1324.6890869140625,1121.2225341796875,589.1219482421875,2590.5556640625,1091.0794677734375,2960.9287109375,296.55120849609375,273.7462463378906,1613.322021484375,558.0631713867188,208.52325439453125,1271.571533203125,2970.296630859375,2208.599365234375,754.196044921875,348.9842834472656,1311.6761474609375,628.980224609375,0.0,2964.981201171875,154.21633911132812,845.9503173828125,227.07301330566406,1159.4715576171875,448.57110595703125,217.8990478515625,160.77928161621094,804.9500732421875,910.5728149414062,686.0550537109375,4773.85498046875,5976.36572265625,98.74010467529297,120.85442352294922,149.13719177246094,515.5472412109375,247.99588012695312,0.0,16723.578125,740.1826171875,537.4500122070312,316.53057861328125,1135.762451171875,0.0,405.7754211425781,408.3705749511719,3966.41162109375,403.7089538574219,179.09686279296875
2016-09-30,249.9525146484375,1300.2352294921875,1123.97900390625,535.9114990234375,2461.242919921875,1046.1292724609375,3068.22998046875,280.64459228515625,278.449951171875,1572.6829833984375,567.470703125,201.58604431152344,1237.46142578125,2988.85302734375,2420.85400390625,784.8359985351562,358.1881103515625,1299.4561767578125,619.6971435546875,0.0,2879.364501953125,148.54559326171875,800.8680419921875,222.3148193359375,1170.576904296875,449.13348388671875,202.39768981933594,158.6085205078125,777.0606689453125,861.1299438476562,670.7642822265625,5176.869140625,5856.7392578125,93.08624267578125,130.87249755859375,143.82188415527344,527.290771484375,246.17922973632812,0.0,16638.203125,710.3824462890625,534.75,319.9056396484375,1097.1810302734375,0.0,363.5269470214844,386.39678955078125,3797.828369140625,426.1952209472656,174.40489196777344
2016-10-31,298.9208068847656,1314.0335693359375,1034.900146484375,481.2670593261719,2482.751708984375,1062.317138671875,3375.262939453125,284.7552795410156,303.7635498046875,1544.4224853515625,561.7984619140625,202.74221801757812,1223.6446533203125,3230.656982421875,2330.75244140625,784.064697265625,344.90631103515625,1294.8387451171875,613.995849609375,0.0,2823.958740234375,145.3871307373047,773.5509643554688,244.16738891601562,1175.224609375,436.1732482910156,203.23558044433594,151.86720275878906,814.5791015625,888.9490356445312,625.3453369140625,5551.11279296875,6326.6845703125,95.43690490722656,146.7790985107422,143.53639221191406,513.3544921875,253.20030212402344,0.0,16476.595703125,711.38671875,535.8499755859375,345.58184814453125,1087.457275390625,0.0,377.0758361816406,365.692626953125,3919.995849609375,441.407470703125,168.58108520507812
2016-11-30,270.3965148925781,1176.885009765625,940.3644409179688,464.6017150878906,2332.278076171875,910.2890014648438,2979.494140625,289.9830627441406,292.69732666015625,1418.9085693359375,554.072509765625,192.61764526367188,1125.2484130859375,3075.52783203125,2105.877197265625,707.6151123046875,362.3038330078125,1179.7294921875,584.5629272460938,0.0,2672.45751953125,170.9464874267578,785.742431640625,233.50543212890625,1065.930908203125,426.5528564453125,195.14971923828125,158.13677978515625,754.5595703125,831.5964965820312,565.8045043945312,4973.02392578125,5700.43798828125,102.26948547363281,149.76992797851562,156.58517456054688,483.7519226074219,253.74037170410156,0.0,15225.5,679.3922729492188,459.3500061035156,354.55352783203125,1031.9344482421875,0.0,420.2333679199219,314.5180969238281,3538.234375,400.6728515625,169.82249450683594
2016-12-31,261.00201416015625,1158.4708251953125,864.2510375976562,445.06817626953125,2288.9130859375,830.9331665039062,2888.811767578125,272.8699951171875,288.3799743652344,1346.3189697265625,555.6861572265625,187.49282836914062,751.3809814453125,2940.588134765625,2119.158203125,699.4951171875,373.4058532714844,1177.630615234375,586.8045654296875,0.0,2567.675537109375,150.6836395263672,768.9908447265625,224.958251953125,1083.5919189453125,441.96728515625,201.89492797851562,148.80340576171875,717.4901123046875,811.656982421875,565.0889282226562,5029.287109375,5507.70166015625,103.24111938476562,148.82415771484375,149.6122589111328,526.3162231445312,245.24635314941406,0.0,14400.1044921875,602.3472900390625,471.3500061035156,334.1749267578125,1070.551025390625,0.0,423.0903625488281,318.1315612792969,3195.210205078125,409.02215576171875,173.07220458984375
2017-01-31,285.6322326660156,1208.6064453125,941.2855224609375,460.7939453125,2466.109619140625,1025.9315185546875,3234.42333984375,310.8940124511719,309.5807189941406,1460.739013671875,561.6029052734375,193.6800994873047,671.3590698242188,2904.582275390625,2238.207275390625,739.5266723632812,365.0342102050781,1274.5501708984375,627.12841796875,0.0,2681.1015625,184.55223083496094,795.8400268554688,237.07412719726562,1225.5662841796875,406.3720397949219,216.2232208251953,181.7222137451172,770.8740844726562,869.0095825195312,591.2811889648438,5571.142578125,5336.345703125,108.28719329833984,157.14178466796875,168.45143127441406,508.4328918457031,255.31150817871094,0.0,15138.263671875,604.0689697265625,523.5999755859375,395.09710693359375,1013.5796508789062,0.0,391.1009826660156,354.3150634765625,3636.234375,459.1497497558594,166.90145874023438
2017-02-28,293.7611083984375,1276.8125,993.304443359375,500.6028137207031,2397.02099609375,1096.326904296875,3956.78857421875,326.3091125488281,312.92767333984375,1508.4080810546875,570.3558349609375,201.11729431152344,728.7368774414062,2743.92431640625,2348.1484375,805.947998046875,381.9708251953125,1276.83544921875,676.9547119140625,0.0,2643.784912109375,178.9155731201172,804.9136352539062,243.5505828857422,1285.594482421875,442.6669616699219,219.65866088867188,171.0057373046875,799.262451171875,884.34765625,623.5324096679688,5596.03955078125,5713.44775390625,103.82470703125,152.05923461914062,157.17092895507812,603.3803100585938,264.34564208984375,0.0,15833.802734375,649.406494140625,456.1499938964844,412.39971923828125,1121.1241455078125,0.0,432.743408203125,426.4378662109375,3713.708740234375,454.2476806640625,179.1536407470703
